name,address,description,styleUrl,ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,ExtendedData/Data/2/value,ExtendedData/Data/2/_name,ExtendedData/Data/3/value,ExtendedData/Data/3/_name,ExtendedData/Data/4/value,ExtendedData/Data/4/_name,ExtendedData/Data/5/value,ExtendedData/Data/5/_name,ExtendedData/Data/6/value,ExtendedData/Data/6/_name,ExtendedData/Data/7/value,ExtendedData/Data/7/_name,ExtendedData/Data/8/value,ExtendedData/Data/8/_name,ExtendedData/Data/9/value,ExtendedData/Data/9/_name,ExtendedData/Data/10/value,ExtendedData/Data/10/_name,ExtendedData/Data/11/value,ExtendedData/Data/11/_name,ExtendedData/Data/12/value,ExtendedData/Data/12/_name,ExtendedData/Data/13/value,ExtendedData/Data/13/_name
African Services Committee,429 west 127th street New York NY 10027,Contact: Yacine Gassambe<br>Phone: 212-222-3882 ext. 2117<br>Program Type: Pantry<br>Address: 429 west 127th street<br>City: New York<br>State: NY<br>ZIP Code: 10027<br>Monday: 09:00 AM - 05:00 PM<br>Tuesday: 09:00 AM - 05:00 PM<br>Wednesday: 09:00 AM - 05:00 PM<br>Thursday: 09:00 AM - 05:00 PM<br>Friday: 09:00 AM - 05:00 PM<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Yacine Gassambe,Contact,212-222-3882 ext. 2117,Phone,Pantry,Program Type,429 west 127th street,Address,New York,City,NY,State,10027,ZIP Code,09:00 AM - 05:00 PM,Monday,09:00 AM - 05:00 PM,Tuesday,09:00 AM - 05:00 PM,Wednesday,09:00 AM - 05:00 PM,Thursday,09:00 AM - 05:00 PM,Friday,closed,Saturday,closed,Sunday
Agape Christian Center,59-02 Summerfield Street Ridgewood NY 11385,Contact: Julio/Dawn Lopez<br>Phone: 347-423-6724/631-335-9186<br>Program Type: Pantry<br>Address: 59-02 Summerfield Street<br>City: Ridgewood<br>State: NY<br>ZIP Code: 11385<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 10:00 AM - 11:30 AM<br>Sunday: closed,#icon-1899-F57C00,Julio/Dawn Lopez,Contact,347-423-6724/631-335-9186,Phone,Pantry,Program Type,59-02 Summerfield Street,Address,Ridgewood,City,NY,State,11385,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,10:00 AM - 11:30 AM,Saturday,closed,Sunday
Agape Social Services Beulah Church,956 Marcy Avenue Brooklyn NY 11216,Contact: Gwendolyn Hargett<br>Phone: 347-336-9251 (cell)<br>Program Type: Pantry<br>Address: 956 Marcy Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11216<br>Monday: closed<br>Tuesday: 10:30 AM - 02:00 PM<br>Wednesday: closed<br>Thursday: 10:30 AM - 02:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Gwendolyn Hargett,Contact,347-336-9251 (cell),Phone,Pantry,Program Type,956 Marcy Avenue,Address,Brooklyn,City,NY,State,11216,ZIP Code,closed,Monday,10:30 AM - 02:00 PM,Tuesday,closed,Wednesday,10:30 AM - 02:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Agape Social Services Beulah Ministry,956 Marcy Avenue Brooklyn NY 11216,Contact: Gwendolyn Hargett<br>Phone: 347-336-9251 (cell)<br>Program Type: Soup Kitchen<br>Address: 956 Marcy Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11216<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 12:30 PM - 02:00 PM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: 04:00 PM - 05:30 PM,#icon-1899-1A237E,Gwendolyn Hargett,Contact,347-336-9251 (cell),Phone,Soup Kitchen,Program Type,956 Marcy Avenue,Address,Brooklyn,City,NY,State,11216,ZIP Code,closed,Monday,closed,Tuesday,12:30 PM - 02:00 PM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,04:00 PM - 05:30 PM,Sunday
Agatha House Foundation,4471 Mundy Lane Bronx NY 10466,Contact: Jeanette Joseph<br>Phone: 646-335-2334<br>Program Type: Pantry<br>Address: 4471 Mundy Lane<br>City: Bronx<br>State: NY<br>ZIP Code: 10466<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: 04:30 PM - 06:30 PM<br>Saturday: 01:00 PM - 03:00 PM<br>Sunday: closed,#icon-1899-F57C00,Jeanette Joseph,Contact,646-335-2334,Phone,Pantry,Program Type,4471 Mundy Lane,Address,Bronx,City,NY,State,10466,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,04:30 PM - 06:30 PM,Friday,01:00 PM - 03:00 PM,Saturday,closed,Sunday
Agatha House Foundation-Mobile Pantry,4471 Mundy Lane Bronx NY 10466,Contact: Miriam Torres<br>Phone: 914-330-0398<br>Program Type: Mobile Pantry<br>Address: 4471 Mundy Lane<br>City: Bronx<br>State: NY<br>ZIP Code: 10466<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 11:00 AM - 01:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-FFD600,Miriam Torres,Contact,914-330-0398,Phone,Mobile Pantry,Program Type,4471 Mundy Lane,Address,Bronx,City,NY,State,10466,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,11:00 AM - 01:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Aids Center of Queens County,1600 Central Avenue Far Rockaway NY 11691,Contact: Marie Joseph<br>Phone: 718-868-8645<br>Program Type: Pantry<br>Address: 1600 Central Avenue<br>City: Far Rockaway<br>State: NY<br>ZIP Code: 11691<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: 10:30-12:00<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Marie Joseph,Contact,718-868-8645,Phone,Pantry,Program Type,1600 Central Avenue,Address,Far Rockaway,City,NY,State,11691,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,10:30-12:00,Friday,closed,Saturday,closed,Sunday
Aids Center of Queens County,62-07 Woodside Avenue Woodside NY 11377,Contact: Karen Perez<br>Phone: 718-472-9400 x5722<br>Program Type: Pantry<br>Address: 62-07 Woodside Avenue<br>City: Woodside<br>State: NY<br>ZIP Code: 11377<br>Monday: closed<br>Tuesday: 10:00 AM - 12:00 PM<br>Wednesday: closed<br>Thursday: 10:00 AM - 12:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Karen Perez,Contact,718-472-9400 x5722,Phone,Pantry,Program Type,62-07 Woodside Avenue,Address,Woodside,City,NY,State,11377,ZIP Code,closed,Monday,10:00 AM - 12:00 PM,Tuesday,closed,Wednesday,10:00 AM - 12:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Aids Center of Queens County,161-21 Jamaica Avenue Jamaica NY 11432,Contact: Kathy Marie<br>Phone: 718-896-2500; 347-574-5554 (Kathy Cell)<br>Program Type: Pantry<br>Address: 161-21 Jamaica Avenue<br>City: Jamaica<br>State: NY<br>ZIP Code: 11432<br>Monday: closed<br>Tuesday: 9:00am-10:30am<br>Wednesday: closed<br>Thursday: 9:00-10:30am<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Kathy Marie,Contact,718-896-2500; 347-574-5554 (Kathy Cell),Phone,Pantry,Program Type,161-21 Jamaica Avenue,Address,Jamaica,City,NY,State,11432,ZIP Code,closed,Monday,9:00am-10:30am,Tuesday,closed,Wednesday,9:00-10:30am,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Aishel Shabbat,1002 Quentin Rd Brooklyn NY 11223,Contact: Silia Elmann<br>Phone: 646- 229-1126<br>Program Type: Pantry<br>Address: 1002 Quentin Rd<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11223<br>Monday: 08:00 PM - 10:00 PM<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Silia Elmann,Contact,646- 229-1126,Phone,Pantry,Program Type,1002 Quentin Rd,Address,Brooklyn,City,NY,State,11223,ZIP Code,08:00 PM - 10:00 PM,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
All Nations Baptist Church of Woodhaven,86-74 80th Street Woodhaven NY 11421,Contact: David Tinsley<br>Phone: 718-847-4229<br>Program Type: Pantry<br>Address: 86-74 80th Street<br>City: Woodhaven<br>State: NY<br>ZIP Code: 11421<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 10:00 AM - 11:00 AM<br>Sunday: closed,#icon-1899-F57C00,David Tinsley,Contact,718-847-4229,Phone,Pantry,Program Type,86-74 80th Street,Address,Woodhaven,City,NY,State,11421,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,10:00 AM - 11:00 AM,Saturday,closed,Sunday
Allen Outreach Ministry Feeding Program,111-54 Merrick Blvd Jamaica NY 11433,Contact: Marjorie Sanders / Alice McCoy<br>Phone: 718-465-2802<br>Program Type: Pantry<br>Address: 111-54 Merrick Blvd<br>City: Jamaica<br>State: NY<br>ZIP Code: 11433<br>Monday: 05:00 PM - 07:00 PM<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 10:00 AM - 02:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Marjorie Sanders / Alice McCoy,Contact,718-465-2802,Phone,Pantry,Program Type,111-54 Merrick Blvd,Address,Jamaica,City,NY,State,11433,ZIP Code,05:00 PM - 07:00 PM,Monday,closed,Tuesday,closed,Wednesday,10:00 AM - 02:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Allen Outreach Ministry Feeding Program,111-54 Merrick Blvd Jamaica NY 11433,Contact: Marjorie Sanders / Alice McCoy<br>Phone: 718-526-3510<br>Program Type: Soup Kitchen<br>Address: 111-54 Merrick Blvd<br>City: Jamaica<br>State: NY<br>ZIP Code: 11433<br>Monday: 5:00PM-7:00PM<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 1:00-2:00<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-1A237E,Marjorie Sanders / Alice McCoy,Contact,718-526-3510,Phone,Soup Kitchen,Program Type,111-54 Merrick Blvd,Address,Jamaica,City,NY,State,11433,ZIP Code,5:00PM-7:00PM,Monday,closed,Tuesday,closed,Wednesday,1:00-2:00,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Ammi Evangelical Baptist Church,1799 Flatbush Avenue Brooklyn NY 11210,Contact: Rev. L. St. Juste<br>Phone: 347-679-3861<br>Program Type: Pantry<br>Address: 1799 Flatbush Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11210<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 12:30 PM - 02:00 PM<br>Sunday: closed,#icon-1899-F57C00,Rev. L. St. Juste,Contact,347-679-3861,Phone,Pantry,Program Type,1799 Flatbush Avenue,Address,Brooklyn,City,NY,State,11210,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,12:30 PM - 02:00 PM,Saturday,closed,Sunday
Apna Food Pantry Brighton Beach,"211 Neptune Avenue, Brooklyn, NY 11235","Contact: Erum Hanif<br>Phone: 718-513-4700<br>Program Type: Pantry<br>Address: 211 Neptune Avenue, Brooklyn, NY 11235<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11235<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 11:00 am - 3:00 pm (Every Wednesday)<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed",#icon-1899-F57C00,Erum Hanif,Contact,718-513-4700,Phone,Pantry,Program Type,"211 Neptune Avenue, Brooklyn, NY 11235",Address,Brooklyn,City,NY,State,11235,ZIP Code,closed,Monday,closed,Tuesday,11:00 am - 3:00 pm (Every Wednesday),Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Apostolic Assembly of Jesus Christ,3808 Church Avenue Brooklyn NY 11203,Contact: Reverend Jean Subtyl<br>Phone: 718-669-0739<br>Program Type: Pantry<br>Address: 3808 Church Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11203<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 01:00 PM - 03:00 PM<br>Sunday: closed,#icon-1899-F57C00,Reverend Jean Subtyl,Contact,718-669-0739,Phone,Pantry,Program Type,3808 Church Avenue,Address,Brooklyn,City,NY,State,11203,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,01:00 PM - 03:00 PM,Saturday,closed,Sunday
Ascension Outreach Inc.,12 West 11th Street New York NY 10011,Contact: Father Edwin Chinery<br>Phone: 212-254-8620-ext.18<br>Program Type: Pantry<br>Address: 12 West 11th Street<br>City: New York<br>State: NY<br>ZIP Code: 10011<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 08:30 AM - 09:00 AM<br>Sunday: closed,#icon-1899-F57C00,Father Edwin Chinery,Contact,212-254-8620-ext.18,Phone,Pantry,Program Type,12 West 11th Street,Address,New York,City,NY,State,10011,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,08:30 AM - 09:00 AM,Saturday,closed,Sunday
"Ash-Shifaa, Inc.",2269 Crotona Avenue Bronx NY 10457,Contact: Abdul Azeez<br>Phone: 646-353-0859<br>Program Type: Pantry<br>Address: 2269 Crotona Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10457<br>Monday: 1:00PM - 5:00PM<br>Tuesday: 1:00PM - 5:00PM<br>Wednesday: 1:00PM - 5:00PM<br>Thursday: 1:00PM - 5:00PM<br>Friday: Closed<br>Saturday: Closed<br>Sunday: Closed,#icon-1899-F57C00,Abdul Azeez,Contact,646-353-0859,Phone,Pantry,Program Type,2269 Crotona Avenue,Address,Bronx,City,NY,State,10457,ZIP Code,1:00PM - 5:00PM,Monday,1:00PM - 5:00PM,Tuesday,1:00PM - 5:00PM,Wednesday,1:00PM - 5:00PM,Thursday,Closed,Friday,Closed,Saturday,Closed,Sunday
Atonement Lutheran Church,30-61 87th Street East Elmhurst NY,Contact: Jeremy Reinstein<br>Phone: 718-639-6074<br>Program Type: Pantry<br>Address: 30-61 87th Street<br>City: East Elmhurst<br>State: NY<br>ZIP Code: 11369<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 8:00-9:00AM<br>Friday: closed<br>Saturday: <br>Sunday: closed,#icon-1899-F57C00,Jeremy Reinstein,Contact,718-639-6074,Phone,Pantry,Program Type,30-61 87th Street,Address,East Elmhurst,City,NY,State,11369,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,8:00-9:00AM,Thursday,closed,Friday,,Saturday,closed,Sunday
Bailey House Inc. Adult & Family,1751 Park Avenue New York NY,Contact: Maryse Dezulmut<br>Phone: 929-290-3969<br>Program Type: Pantry<br>Address: 1751 Park Avenue<br>City: New York<br>State: NY<br>ZIP Code: 10035<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 01:00 PM - 04:00 PM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Maryse Dezulmut,Contact,929-290-3969,Phone,Pantry,Program Type,1751 Park Avenue,Address,New York,City,NY,State,10035,ZIP Code,closed,Monday,closed,Tuesday,01:00 PM - 04:00 PM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Basilica of Our Lady of Perpetual Help,545 60th Street Brooklyn NY 11220,Contact: Sister Lucille Aliperti<br>Phone: 347-603-3738<br>Program Type: Pantry<br>Address: 545 60th Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11220<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 10:30 AM - 12:00 PM<br>Sunday: closed,#icon-1899-F57C00,Sister Lucille Aliperti,Contact,347-603-3738,Phone,Pantry,Program Type,545 60th Street,Address,Brooklyn,City,NY,State,11220,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,10:30 AM - 12:00 PM,Saturday,closed,Sunday
Bay View Houses Resident Association,2085 Rockaway Parkway Brooklyn NY 11236,Contact: Sheryl Boyce<br>Phone: 84720<br>Program Type: Pantry<br>Address: 2085 Rockaway Parkway<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11236<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 10:00 AM - 01:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Sheryl Boyce,Contact,84720,Phone,Pantry,Program Type,2085 Rockaway Parkway,Address,Brooklyn,City,NY,State,11236,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,10:00 AM - 01:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Bedford Central Presbyterian Church,1200 Dean Street Brooklyn NY 11216,Contact: Bernice Layne<br>Phone: 718-467-0740<br>Program Type: Pantry<br>Address: 1200 Dean Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11216<br>Monday: -<br>Tuesday: -<br>Wednesday: -<br>Thursday: 9:00 AM - 10:00 AM<br>Friday: -<br>Saturday: -<br>Sunday: -,#icon-1899-F57C00,Bernice Layne,Contact,718-467-0740,Phone,Pantry,Program Type,1200 Dean Street,Address,Brooklyn,City,NY,State,11216,ZIP Code,-,Monday,-,Tuesday,-,Wednesday,9:00 AM - 10:00 AM,Thursday,-,Friday,-,Saturday,-,Sunday
Bensonhurst Council Jewish Org.,8635 21st Avenue Brooklyn NY 11214,Contact: Rena Mikhaylova<br>Phone: 718-333-1834 x7303<br>Program Type: Pantry<br>Address: 8635 21st Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11214<br>Monday: closed<br>Tuesday: 10:00 AM - 04:00 PM<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Rena Mikhaylova,Contact,718-333-1834 x7303,Phone,Pantry,Program Type,8635 21st Avenue,Address,Brooklyn,City,NY,State,11214,ZIP Code,closed,Monday,10:00 AM - 04:00 PM,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
